nk,n_keep,n_shell,partner,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,raw_partner_alignment_error_mean,best_partner_alignment_error_mean,partner_min_singular_value_min,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,6,4,same_valley,fixed_delta0,0.0,0.0,1.0,83334.36370178676,84939.69567946426,0.01926374554706145,1.926374554706145,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.027816295122811235
9,6,4,same_valley,fixed_delta0,2.0,0.0,1.0,108905.22229311107,102622.63517832368,-0.05768857528134175,-5.768857528134175,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.028775729884825376
9,6,4,same_valley,fixed_delta0,4.0,0.0,1.0,107385.67772184621,103011.72156021811,-0.04073128050611796,-4.073128050611796,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.02196148564138852
9,6,4,same_valley,fixed_frobenius_norm,-4.0,0.0,1.0,43916.68095864365,45692.885798786665,0.04044487883352721,4.044487883352721,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.0012375241461461959
9,6,4,same_valley,fixed_frobenius_norm,0.0,0.0,1.0,83334.36370178676,83713.5683585978,0.004550399618673762,0.45503996186737616,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.017664201818479854
9,6,4,same_valley,fixed_frobenius_norm,2.0,0.0,1.0,108905.22229311107,101703.84757009213,-0.06612515517058426,-6.612515517058426,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.01813900844107387
9,6,4,same_valley,fixed_frobenius_norm,4.0,0.0,1.0,107385.67772184621,104504.30152026993,-0.02683203442678561,-2.683203442678561,0.8239201356396348,0.802361949443757,1.4093073865710148,1.348969661896493,0.000719611168786732,0.0,0.0,0.015514161591239695
9,6,4,sewn_time_reversed_valley,fixed_delta0,-4.0,0.0,1.0,54756.19861666595,42311.589234913554,-0.22727307037644995,-22.727307037644994,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.002590515625835636
9,6,4,sewn_time_reversed_valley,fixed_delta0,0.0,0.0,1.0,83373.63961543258,85149.31455942536,0.02129779810721022,2.129779810721022,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.01454813620881521
9,6,4,sewn_time_reversed_valley,fixed_delta0,2.0,0.0,1.0,105213.0571617955,107053.11739536564,0.017488896180827718,1.7488896180827718,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.017066380101218203
9,6,4,sewn_time_reversed_valley,fixed_delta0,4.0,0.0,1.0,113126.07388811003,108338.87284169337,-0.04231739758909647,-4.231739758909647,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.015749273875389318
