eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,-6.0420300659872555e-18,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12
0.1,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.0012661501929165284,1.0177818124559657,0.008812554631128509,0.0,0.0,1.4306371516528078e-15,85074.94466016338,26812.425168250888,58302.786095260126,-40.26660334763103,83588.58806375472,22514.094208195842,61032.835440348346,41.658415210529895
0.2,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.005038442943174693,1.0170900524043156,0.008472627379201377,0.0,0.0,1.2254902914638484e-15,85117.3539296292,26853.618437713074,58344.58347198962,-80.84798007349265,83687.13638327198,22609.516870510484,60992.698432899175,84.92107986231669
0.3,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.011241405764258588,1.0163346177946877,0.008101144349023438,0.0,0.0,1.7073224605204376e-15,85168.08197795568,26895.959641505877,58393.974532201726,-121.85219575193017,83799.25320536576,22705.967819574897,60963.41279207266,129.87259371821318
0.4,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.01975384884997369,1.0154805115304406,0.007680804374876086,0.0,0.0,1.4937546201809982e-15,85224.69308587872,26937.521786274112,58450.5842704148,-163.41297081017314,83925.48366825451,22803.61194329454,60945.26972440616,176.60200055381657
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.030413556047206188,1.014485602003246,0.007190720047262264,0.0,0.0,1.8218706051419516e-15,85284.09583876193,26975.925379071265,58513.87121458774,-205.70075489706824,84066.34423431577,22902.570567385803,60938.57463877794,225.19902815201664
0.6,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.043023505272774015,1.0132978913968984,0.006605029217843042,0.0,0.0,1.9092252190741105e-15,85342.28396464644,27008.101374012276,58583.122467829715,-248.93987719554985,84222.30490087811,23002.890894655065,60943.66650432069,275.74750190234863
0.7,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.05735929636300348,1.0118515026033628,0.005890843627388371,0.0,0.0,1.4105551980656737e-15,85393.9620826565,27029.92534797944,58657.471680601186,-293.434945924131,84393.76910836116,23104.509833605603,60960.9453606695,328.3139140860468
0.8,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.0731773786056209,1.010060947354708,0.005005294674247778,0.0,0.0,1.3974916096798133e-15,85432.02205746016,27035.670260507333,58735.962328066584,-339.61053111377544,84581.05650080003,23207.216484549685,60990.9122611364,382.92775511393364
0.9,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.09022360874540176,1.0078137025422997,0.00389164718440061,0.0,0.0,1.4855170089717467e-15,85446.88361924357,27017.25823288194,58817.693065393,-388.0676790313609,84784.4035099902,23310.62836240572,61034.22712825998,439.54801932449163
