eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,-6.0420300659872555e-18,72613.95396039194,0.6051548866241803,1.1253139644055654,0.05896256576877794,0.0,0.0,1.6086506147077023e-15,76895.45899651256,32668.003541646478,44227.45545486606,9.094947017729282e-13,68332.44892427132,24674.526226668524,43657.9226976028,-7.795668872339384e-13
0.25,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,0.007842640306182558,72509.86271474841,0.606836543320044,1.1354472849070536,0.06342806299381398,0.0,0.0,1.524637718686647e-15,77109.02285469227,32625.64459014162,44420.26121208926,63.117052461400036,67910.70257480454,24370.4605920699,43583.00768076847,-42.765698033829274
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,0.030413556047206188,72395.99539276335,0.6090384150560397,1.1433350063653471,0.06687475636784082,0.0,0.0,1.2140547723554227e-15,77237.45994666172,32482.408736432146,44640.29895478919,114.75225544038179,67554.53083886497,24098.428989816523,43543.5856260367,-87.48377698824382
0.75,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,0.06509878715881898,72250.50805620305,0.6119675768455398,1.1479054798587682,0.06886032986353455,0.0,0.0,1.5776922792909543e-15,77225.70187376115,32186.018947490185,44890.44847608839,149.23445018255222,67275.31423864495,23870.187774932427,43539.48820593909,-134.36174222656314
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,0.10824164708279772,72099.33361731304,0.6154263575146993,1.1495247443583496,0.06956176929379052,0.0,0.0,1.5133154724163959e-15,77114.69082863661,31782.34876551121,45173.018128436925,159.32393468847974,67083.97640598948,23697.328703584106,43570.64240624322,-183.99470383784353
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,-6.0420300659872555e-18,78911.452653582,0.6452618283237936,1.1259147733346038,0.059228514197255465,0.0,0.0,2.0969760925556426e-15,83585.26074740074,32945.72014497766,50639.54060242307,2.6356785235052207e-12,74237.64455976327,23040.088732312743,51197.55582745053,7.424446545085129e-13
0.25,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.00784264030618254,79269.37178665571,0.6484362572687357,1.135173715453468,0.06330806457345314,0.0,0.0,1.6747718902568518e-15,84287.76229442237,33017.44847642285,51222.75945794412,47.55436005539541,74250.98127888904,22720.15098234547,51579.51005682176,-48.679760278166285
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.030413556047206164,80636.98407253867,0.6555717051500835,1.144409611417425,0.06734236344052388,0.0,0.0,1.4607387871359943e-15,86067.2691606993,33183.69980384576,52795.4923948237,88.07696202983908,75206.69898437803,22372.561208254087,52931.157898364894,-97.02012224094305
0.75,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.06509878715881894,82242.06981137916,0.6662258382980015,1.1475030600516125,0.06868584394383467,0.0,0.0,1.1996365276733795e-15,87890.93578406151,32925.397342356846,54840.40999834808,125.12844335659385,76593.20383869682,21991.34735849472,54743.17380854962,-141.31732834751878
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.1082416470827977,83149.03274276966,0.6826230067789715,1.1325135297536086,0.062139596257998524,0.0,0.0,1.3038447605273202e-15,88315.88006664847,31236.140431711905,56922.27920491348,157.46043002308312,77982.18541889086,21563.56968337858,56596.60627835167,-177.9905428394016
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,-6.0420300659872555e-18,78911.452653582,0.6452618283237936,1.1259147733346038,0.059228514197255465,0.0,0.0,2.0969760925556426e-15,83585.26074740074,32945.72014497766,50639.54060242307,2.6356785235052207e-12,74237.64455976327,23040.088732312743,51197.55582745053,7.424446545085129e-13
0.25,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.007842640306182558,78641.8457944497,0.6462196063333505,1.1346535216749438,0.06307980208857913,0.0,0.0,1.3526646115859454e-15,83602.55786304416,32920.03588016804,50634.9365466366,47.585436239534346,73681.13372585527,22724.910446787966,51004.868714598095,-48.645435530772076
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.030413556047206188,78439.21312761685,0.647451857569892,1.1440711153063208,0.06719511973171538,0.0,0.0,1.3250014074250542e-15,83709.9454453886,32933.71286657829,50689.7443495707,86.48822923959634,73168.48080984509,22384.97006101709,50881.48414202167,-97.97339319367693
0.75,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.06509878715881898,78286.14306125912,0.6490980926137114,1.153102588917577,0.07110789318893804,0.0,0.0,1.6310733746582941e-15,83852.90576023306,32934.04761275668,50803.188959854066,115.66918762231825,72719.38036228518,22039.594713856153,50827.58331844081,-147.79767001178735
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-2.0,-0.8571428571428572,0.10824164708279772,78044.96102036242,0.6523279578140809,1.1573838573660147,0.07295125382006294,0.0,0.0,1.4698664904463324e-15,83738.4387811358,32626.464193170345,50977.596446127805,134.3781418376534,72351.48325958905,21704.896520998373,50844.22363405733,-197.63689546665893
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-1.0,-0.6530612244897962,-6.0420300659872555e-18,80537.24205271601,0.69353507599043,1.0618603247962894,0.030002189795470865,0.0,0.0,1.5463596487653209e-15,82953.53567438538,28616.012008743503,54337.52366564189,2.1530894980746872e-12,78120.94843104665,20747.667522508444,57373.28090853821,5.19711258155959e-13
0.25,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-1.0,-0.6530612244897962,0.00784264030618254,81101.08740507145,0.6933137791817716,1.0606346035561462,0.029425208841735436,0.0,0.0,1.2583892134425092e-15,83487.50383925751,28788.193236514293,54734.33837985793,-35.02777711472288,78714.67097088537,20954.478860970325,57722.66442926459,37.52768065046354
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-1.0,-0.6530612244897962,0.030413556047206164,82638.49455526043,0.6973234554366496,1.0594630191961114,0.028873069650613183,0.0,0.0,1.8730570090678578e-15,85024.52156437628,28988.957931852354,56110.881270512815,-75.31763798887343,80252.46754614457,21035.347475611357,59140.6398802011,76.4801903321172
0.75,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-1.0,-0.6530612244897962,0.06509878715881894,84737.38072363456,0.7025517713926602,1.060451972651929,0.02933918065273984,0.0,0.0,1.5218852556662507e-15,87223.50604472526,29358.549396938088,57985.18818138553,-120.23153359835202,82251.25540254384,21051.937248577957,61079.605679741915,119.71247422396972
