eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw,theta_deg,moire_cell_area_A2,moire_reciprocal_scale_Ainv,D_iso_eV_A2_per_flavor,D_iso_eV_A2_spin_valley,D_iso_cell_K_per_flavor,D_iso_cell_K_spin_valley,Dxx_total_eV_A2_per_flavor,Dxx_total_eV_A2_spin_valley,Dxx_total_cell_K_per_flavor,Dxx_total_cell_K_spin_valley,Dxx_conv_eV_A2_per_flavor,Dxx_conv_eV_A2_spin_valley,Dxx_conv_cell_K_per_flavor,Dxx_conv_cell_K_spin_valley,Dxx_geom_eV_A2_per_flavor,Dxx_geom_eV_A2_spin_valley,Dxx_geom_cell_K_per_flavor,Dxx_geom_cell_K_spin_valley,Dxx_cross_eV_A2_per_flavor,Dxx_cross_eV_A2_spin_valley,Dxx_cross_cell_K_per_flavor,Dxx_cross_cell_K_spin_valley,Dyy_total_eV_A2_per_flavor,Dyy_total_eV_A2_spin_valley,Dyy_total_cell_K_per_flavor,Dyy_total_cell_K_spin_valley,Dyy_conv_eV_A2_per_flavor,Dyy_conv_eV_A2_spin_valley,Dyy_conv_cell_K_per_flavor,Dyy_conv_cell_K_spin_valley,Dyy_geom_eV_A2_per_flavor,Dyy_geom_eV_A2_spin_valley,Dyy_geom_cell_K_per_flavor,Dyy_geom_cell_K_spin_valley,Dyy_cross_eV_A2_per_flavor,Dyy_cross_eV_A2_spin_valley,Dyy_cross_cell_K_per_flavor,Dyy_cross_cell_K_spin_valley
0.75,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.06509878715881894,65099.29337776104,0.5960489109923052,1.2671242498677702,0.11782514782035004,0.0,0.0,1.4184761538346884e-15,72769.62724299607,32408.9807152974,39941.49096722399,419.155560474699,57428.95951252601,19771.462310400282,37663.23488114212,-5.737679016383152,1.05,15605.571114505186,0.05404738908671809,65.09929337776104,260.3971735110442,48.40873326957232,193.6349330782893,72.76962724299607,291.07850897198426,54.11249942285557,216.44999769142228,32.408980715297396,129.63592286118958,24.09976547489682,96.39906189958728,39.94149096722399,159.76596386889597,29.701044086630574,118.8041763465223,0.419155560474699,1.676622241898796,0.3116898613281946,1.2467594453127784,57.428959512526006,229.71583805010403,42.70496711628906,170.81986846515625,19.77146231040028,79.08584924160112,14.70233232455537,58.80932929822148,37.66323488114212,150.65293952456847,28.00690140906054,112.02760563624216,-0.005737679016383152,-0.022950716065532607,-0.004266617326838746,-0.017066469307354983
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.1082416470827977,66520.79882026077,0.608271495427035,1.2700252945322879,0.11895254875912005,0.0,0.0,1.5747256221266344e-15,74433.61738542345,31858.289095906446,41898.4223382471,676.9059512699183,58607.98025509808,19577.77234004187,39026.989212554814,3.2187025014060513,1.05,15605.571114505186,0.05404738908671809,66.52079882026077,266.08319528104306,49.46578434089351,197.86313736357403,74.43361738542345,297.7344695416938,55.34986546461176,221.39946185844704,31.858289095906446,127.43315638362579,23.69026358426659,94.76105433706635,41.8984223382471,167.5936893529884,31.156245270105757,124.62498108042303,0.6769059512699184,2.7076238050796735,0.5033566102394242,2.013426440957697,58.607980255098084,234.43192102039234,43.58170321717526,174.32681286870104,19.577772340041868,78.31108936016747,14.558301788652885,58.23320715461154,39.02698921255482,156.10795685021927,29.021007956907248,116.08403182762899,0.003218702501406051,0.012874810005624205,0.0023934716151296827,0.009573886460518731
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,-6.0420300659872555e-18,61077.49272846766,0.582254035574249,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12,1.05,15605.571114505186,0.05404738908671809,61.07749272846766,244.30997091387064,45.4180667846801,181.6722671387204,67.55210402409294,270.20841609637176,50.23267712791858,200.9307085116743,31.25554338878417,125.02217355513667,23.24205355537817,92.96821422151268,36.29656063530877,145.1862425412351,26.990623572540407,107.96249429016163,8.306099572313987e-16,3.3224398289255948e-15,6.176530309989757e-16,2.470612123995903e-15,54.60288143284237,218.4115257313695,40.60345644144162,162.4138257657665,19.77420882033686,79.09683528134744,14.704374667260542,58.817498669042166,34.82867261250552,139.31469045002208,25.899081774181084,103.59632709672434,2.7957681521336187e-15,1.1183072608534475e-14,2.0789717942842618e-15,8.315887177137047e-15
0.25,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.007842640306182558,61380.34020647187,0.5799543764451512,1.2442530659996338,0.10883490355881004,0.0,0.0,1.5145506554192038e-15,68060.66361325019,31584.138021452138,36387.98989215668,88.53569964137097,54700.016799693556,19900.848039836816,34807.603968714604,-8.43520885785793,1.05,15605.571114505186,0.05404738908671809,61.38034020647187,245.52136082588748,45.643268350217774,182.5730734008711,68.06066361325018,272.24265445300074,50.61084905922262,202.4433962368905,31.584138021452137,126.33655208580855,23.486401060570454,93.94560424228182,36.387989892156675,145.5519595686267,27.058611630138856,108.23444652055542,0.08853569964137097,0.35414279856548386,0.065836368513306,0.263345474053224,54.70001679969356,218.80006719877423,40.675687641212946,162.70275056485178,19.900848039836816,79.60339215934727,14.798545339170392,59.19418135668157,34.8076039687146,139.2304158748584,25.883414839799666,103.53365935919867,-0.00843520885785793,-0.03374083543143172,-0.006272537757109865,-0.02509015102843946
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.030413556047206188,61753.98450392156,0.5773938895724362,1.2540797473037961,0.11271994595919338,0.0,0.0,1.3508263624802366e-15,68714.89029996847,31983.998573078836,36512.65348254196,218.23824434767678,54793.07870787466,20007.071192997755,34800.09313608848,-14.085621211588771,1.05,15605.571114505186,0.05404738908671809,61.75398450392156,247.01593801568623,45.92111540806492,183.68446163225968,68.71489029996846,274.85956119987384,51.09734105524788,204.38936422099152,31.983998573078836,127.93599429231534,23.78374288694631,95.13497154778524,36.51265348254196,146.05061393016783,27.15131319696492,108.60525278785968,0.21823824434767677,0.8729529773907071,0.16228497133665484,0.6491398853466194,54.793078707874656,219.17231483149862,40.74488976088196,162.97955904352784,20.007071192997756,80.02828477199103,14.87753434230107,59.51013736920428,34.80009313608848,139.2003725443539,25.877829680969747,103.51131872387899,-0.01408562121158877,-0.05634248484635508,-0.010474262388859778,-0.04189704955543911
0.75,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.06509878715881898,62233.61670895257,0.5743725917881775,1.2677175216749388,0.11805593911767383,0.0,0.0,1.6657708850747807e-15,69580.66477421732,32485.087801066755,36683.763004247914,411.81396890266456,54886.56864368782,20095.470579088014,34806.80444669832,-15.706382098527698,1.05,15605.571114505186,0.05404738908671809,62.23361670895257,248.93446683581027,46.277776537182106,185.11110614872842,69.58066477421733,278.3226590968693,51.74114290655699,206.96457162622795,32.485087801066754,129.94035120426702,24.156359754554426,96.6254390182177,36.683763004247915,146.73505201699166,27.278552599520058,109.11421039808023,0.41181396890266453,1.6472558756106581,0.30623055248251413,1.2249222099300565,54.886568643687816,219.54627457475127,40.81441016780722,163.25764067122887,20.095470579088015,80.38188231635206,14.943269346175923,59.77307738470369,34.80680444669832,139.2272177867933,25.882820304190737,103.53128121676295,-0.015706382098527698,-0.06282552839411079,-0.01167948255944284,-0.04671793023777136
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.10824164708279772,62852.605466982626,0.5708294461880161,1.2861612070553696,0.12517105363009468,0.0,0.0,1.2883289791260008e-15,70719.93231668149,33078.83199786354,36928.09129570452,713.0090231134275,54985.27861728376,20168.606689017703,34828.14464467861,-11.472716412554895,1.05,15605.571114505186,0.05404738908671809,62.852605466982624,251.4104218679305,46.73806512296539,186.95226049186155,70.7199323166815,282.879729266726,52.58831797903895,210.3532719161558,33.07883199786354,132.31532799145415,24.597876136096453,98.39150454438581,36.92809129570452,147.71236518281808,27.460238490067272,109.84095396026909,0.7130090231134275,2.85203609245371,0.5302033528752158,2.120813411500863,54.98527861728376,219.94111446913504,40.88781226689183,163.5512490675673,20.168606689017704,80.67442675607082,14.997654367183998,59.99061746873599,34.82814464467861,139.31257857871444,25.89868917001625,103.594756680065,-0.011472716412554896,-0.04589086565021958,-0.008531270308419986,-0.034125081233679945
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,-6.0420300659872555e-18,72613.95396039194,0.6051548866241803,1.1253139644055654,0.05896256576877794,0.0,0.0,1.6086506147077023e-15,76895.45899651256,32668.003541646478,44227.45545486606,9.094947017729282e-13,68332.44892427132,24674.526226668524,43657.9226976028,-7.795668872339384e-13,1.05,15605.571114505186,0.05404738908671809,72.61395396039194,290.45581584156776,53.99673862079814,215.98695448319256,76.89545899651256,307.58183598605024,57.180524873026464,228.72209949210585,32.66800354164648,130.6720141665859,24.292378424452234,97.16951369780894,44.22745545486606,176.90982181946424,32.88814644857421,131.55258579429685,9.094947017729283e-16,3.637978807091713e-15,6.763128160659176e-16,2.7052512642636702e-15,68.33244892427132,273.3297956970853,50.81295236856982,203.25180947427927,24.674526226668522,98.69810490667409,18.348318340854846,73.39327336341938,43.6579226976028,174.6316907904112,32.46463402771497,129.8585361108599,-7.7956688723393845e-16,-3.1182675489357538e-15,-5.796966994850722e-16,-2.3187867979402887e-15
0.25,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,0.00784264030618254,73097.2362458462,0.6088099813637265,1.1326888848716938,0.06221670953176868,0.0,0.0,1.1759603611963042e-15,77645.10576092909,32669.254025654733,44915.17060894155,60.68112633280922,68549.36673076331,24501.595377195663,44089.483464205536,-41.712110637885104,1.05,15605.571114505186,0.05404738908671809,73.0972362458462,292.3889449833848,54.356114000108434,217.42445600043374,77.64510576092908,310.58042304371634,57.73797255612888,230.95189022451552,32.66925402565473,130.67701610261892,24.293308301624048,97.17323320649619,44.91517060894155,179.6606824357662,33.39954093124391,133.59816372497565,0.06068112633280922,0.24272450533123688,0.045123323260920035,0.18049329304368014,68.54936673076331,274.19746692305324,50.97425544408797,203.8970217763519,24.501595377195663,98.00638150878265,18.219724573828305,72.87889829531322,44.089483464205536,176.35793385682214,32.7855485715773,131.1421942863092,-0.0417121106378851,-0.1668484425515404,-0.031017701317631683,-0.12407080527052673
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,-3.0,-1.0612244897959187,0.030413556047206164,74490.49349944669,0.6159263677153329,1.1320249591772598,0.06192467804326629,0.0,0.0,1.302312849930498e-15,79103.29332668395,32599.887973319797,46407.071289006766,96.33406435740213,69877.69367220944,24602.69646479781,45354.24689186687,-79.24968445524499,1.05,15605.571114505186,0.05404738908671809,74.49049349944669,297.96197399778674,55.39215932819003,221.56863731276013,79.10329332668395,316.4131733067358,58.82230096070952,235.28920384283808,32.599887973319795,130.39955189327918,24.241726747490127,96.9669069899605,46.407071289006765,185.62828515602706,34.508938873044656,138.03575549217862,0.09633406435740213,0.38533625742960853,0.07163534017474281,0.28654136069897124,69.87769367220945,279.5107746888378,51.96201769567056,207.84807078268224,24.60269646479781,98.41078585919124,18.294904738297923,73.17961895319169,45.354246891866865,181.41698756746746,33.72604411679751,134.90417646719004,-0.079249684455245,-0.31699873782098,-0.05893115942487779,-0.23572463769951116
