eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_norm,raw_partner_alignment_error_mean,raw_partner_alignment_error_max,best_partner_alignment_error_mean,best_partner_alignment_error_max,partner_min_singular_value_mean,partner_min_singular_value_min,partner_mean_singular_value_mean,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,sewn_time_reversed_valley,13,4,6,324,1.0,-4.0,-1.581854043392505,0.7614037745512604,37190.95359570397,0.7138230455913972,0.12206820985049967,1.4130168269495762,1.435317566586529,1.3809551233684023,1.3864835054609743,0.008543554423286153,0.0006243475714216725,0.046473239831167565,0.0,0.0,0.006979949873408442,41730.786723764555,15460.387378431782,26266.731908036098,3.6674372966821704,32651.12046764338,5769.190565692513,26828.787620231367,53.1422817195053
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,sewn_time_reversed_valley,13,4,6,324,1.0,0.0,-0.6193293885601578,0.7614037745512604,91286.34736370563,0.9044978789232966,0.017973071624902574,1.4130168269495762,1.435317566586529,1.3809551233684023,1.3864835054609743,0.008543554423286153,0.0006243475714216725,0.046473239831167565,0.0,0.0,0.020614563707350573,92927.04342324926,10158.853357715374,83184.36694356325,-416.17687802937184,89645.65130416202,7926.757177690633,81952.24818669076,-233.35406021937172
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,sewn_time_reversed_valley,13,4,6,324,1.0,2.0,0.16962524654832345,0.7614037745512604,99567.71748765832,0.7846436911149538,0.0815179142791796,1.4130168269495762,1.435317566586529,1.3809551233684023,1.3864835054609743,0.008543554423286153,0.0006243475714216725,0.046473239831167565,0.0,0.0,0.014643571032859154,107684.27014679082,27670.718986074866,80574.1654360589,-560.6142753429386,91451.16482852581,15780.467943141966,75676.1972947554,-5.500409371562837
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,sewn_time_reversed_valley,13,4,6,324,1.0,4.0,0.8126232741617359,0.7614037745512604,101113.06016008879,0.7009135104023518,0.06190704045361143,1.4130168269495762,1.435317566586529,1.3809551233684023,1.3864835054609743,0.008543554423286153,0.0006243475714216725,0.046473239831167565,0.0,0.0,0.0186976769492789,107372.67046580785,35504.63758478619,71922.0426600361,-54.00977901443395,94853.44985436973,25511.94513247344,69820.97722862795,-479.4725067316439
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,-4.0,-1.5585185185185186,-1.973729821555833e-18,37127.81633963341,0.5484912305182398,0.007620612023784886,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.578248344687467e-15,37410.7530232481,17234.913747989933,20175.839275258175,-1.316998855650632e-12,36844.879656018726,16292.155590115417,20552.72406590331,-8.033869865660866e-14
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,0.0,-0.6192592592592594,-1.973729821555833e-18,65321.78947442348,0.7337205660992611,-0.004041987422855759,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.808938731973429e-15,65057.75962292943,17851.21858700331,47206.54103592611,7.761021455128988e-13,65585.81932591753,16936.47965826213,48649.3396676554,2.2959688471423253e-12
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,2.0,0.16296296296296298,-1.973729821555833e-18,66617.7308282152,0.637585303856835,0.0020081010497345103,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.257806717603412e-15,66751.50596342226,25437.779667025963,41313.7262963963,-1.3743475493457582e-13,66483.95569300812,22848.709684683556,43635.24600832455,2.6355135358042187e-12
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,4.0,0.820740740740741,-1.973729821555833e-18,60829.07755331449,0.7107398450102805,-0.002396712330422757,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0653293084125413e-15,60683.28775309422,18229.710806853607,42453.57694624062,-2.2717156550950475e-12,60974.86735353476,16961.14599505323,44013.72135848153,-1.851326992942227e-12
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,-4.0,-1.5585185185185186,0.12559125767448878,39636.59288313906,0.5615237167080205,0.0017669914661741935,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7646472058795001e-15,39706.63040451179,18113.306510422826,21552.045601333193,41.27829275576608,39566.55536176633,16621.049138650465,22961.728305432647,-16.222082316775012
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,0.0,-0.6192592592592594,0.12559125767448878,73774.1328198564,0.7800959360361196,-0.005111594554591063,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.510648215573722e-15,73397.02936426474,16399.70730945954,56965.639407697265,31.68264710793789,74151.23627544806,16000.525785357228,58136.16298702053,14.547503070307284
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,2.0,0.16296296296296298,0.12559125767448878,73853.6918680286,0.6676231230252816,-0.008514602588659402,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.1591441122104153e-15,73224.85703206703,25367.040365930163,47932.16338281231,-74.34671667543572,74482.52670399017,23801.73236671469,50680.7014409479,0.09289632757768332
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,4.0,0.820740740740741,0.12559125767448878,68656.10722499191,0.7437415187760053,0.011363362172287353,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.6016412508472677e-15,69436.27143672889,17792.944461328723,51727.69221219641,-84.36523679625793,67875.94301325493,17399.7722830103,50397.102709331084,79.06802091354504
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,-4.0,-1.5585185185185186,-1.973729821555833e-18,37127.81633963341,0.5484912305182398,0.007620612023784886,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.578248344687467e-15,37410.7530232481,17234.913747989933,20175.839275258175,-1.316998855650632e-12,36844.879656018726,16292.155590115417,20552.72406590331,-8.033869865660866e-14
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,0.0,-0.6192592592592594,-1.973729821555833e-18,65321.78947442348,0.7337205660992611,-0.004041987422855759,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.808938731973429e-15,65057.75962292943,17851.21858700331,47206.54103592611,7.761021455128988e-13,65585.81932591753,16936.47965826213,48649.3396676554,2.2959688471423253e-12
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,2.0,0.16296296296296298,-1.973729821555833e-18,66617.7308282152,0.637585303856835,0.0020081010497345103,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.257806717603412e-15,66751.50596342226,25437.779667025963,41313.7262963963,-1.3743475493457582e-13,66483.95569300812,22848.709684683556,43635.24600832455,2.6355135358042187e-12
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,4.0,0.820740740740741,-1.973729821555833e-18,60829.07755331449,0.7107398450102805,-0.002396712330422757,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0653293084125413e-15,60683.28775309422,18229.710806853607,42453.57694624062,-2.2717156550950475e-12,60974.86735353476,16961.14599505323,44013.72135848153,-1.851326992942227e-12
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,-4.0,-1.5585185185185186,0.12559125767448878,36893.657798604596,0.5480326430252281,0.0019806096940518693,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4615683343913846e-15,36966.729734889544,17613.96293591235,19314.68003449761,38.08676447958621,36820.58586231965,15715.551151639207,21123.177553977577,-18.142843297137187
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,0.0,-0.6192592592592594,0.12559125767448878,66091.01036195825,0.7404408033131241,-0.006784463080867939,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.610497705695147e-15,65642.61834218029,17436.20559849847,48119.85817634569,86.55456733612502,66539.40238173622,16809.072474346405,49753.103432023076,-22.773524633263023
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,2.0,0.16296296296296298,0.12559125767448878,67446.93851989819,0.6442058256668148,-0.004663542845811956,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.553257985105677e-15,67132.3968322918,25000.48512636612,42226.04231435824,-94.13060843255468,67761.48020750457,23097.305212641084,44673.37912146159,-9.20412659811611
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,15,4,6,324,1.0,4.0,0.820740740740741,0.12559125767448878,61612.57928836069,0.7145098727795358,0.01374116224715097,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.5276343613096871e-15,62459.20773682751,17845.075265726693,44732.63540599624,-118.50293489542318,60765.95083989388,17369.062785649454,43312.956971895095,83.9310823493234
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,15,4,6,324,1.0,-4.0,-1.5585185185185186,0.8324411007419008,88139.98959770598,0.31199437808984254,-0.06127126723852076,1.4120041439151207,1.4508876145141114,1.3490009282873203,1.4011464312719486,0.011053023383796526,0.00026623995883703634,0.08990168552833945,0.0,0.0,0.0019657104521001987,82739.5407406645,54938.96724744593,27652.148062559165,148.42543065941234,93540.43845474746,66091.88213471055,27346.214416203773,102.3419038331208
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,15,4,6,324,1.0,0.0,-0.6192592592592594,0.8324411007419008,88368.20944511739,0.9377154570257771,0.003175563761050391,1.4120041439151207,1.4508876145141114,1.3490009282873203,1.4011464312719486,0.011053023383796526,0.00026623995883703634,0.08990168552833945,0.0,0.0,0.010738448475417673,88648.82832866021,5659.458828895644,83058.20953192993,-68.84003216535297,88087.59056157456,4875.65100678459,82670.26228082577,541.6772739642134
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,15,4,6,324,1.0,2.0,0.16296296296296298,0.8324411007419008,100861.6383897975,0.702938747851658,-0.07686413952635686,1.4120041439151207,1.4508876145141114,1.3490009282873203,1.4011464312719486,0.011053023383796526,0.00026623995883703634,0.08990168552833945,0.0,0.0,0.01126334219192287,93108.99534374716,24771.571040890252,68223.25436392053,114.16993893637884,108614.28143584785,34761.91214218535,73575.85322806143,276.5160656010517
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,same_valley,15,4,6,324,1.0,4.0,0.820740740740741,0.8324411007419008,82905.78224173244,0.8593222496171656,-0.012356940163897124,1.4120041439151207,1.4508876145141114,1.3490009282873203,1.4011464312719486,0.011053023383796526,0.00026623995883703634,0.08990168552833945,0.0,0.0,0.014953125026446358,81881.32045133026,10252.735374747548,71850.30057203257,-221.71549544988167,83930.24403213461,13423.185154924118,70635.2660324402,-128.20715522970397
