eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.030413556047206164,1.0079964438031896,0.0039822997833821846,0.0,0.0,1.3631985275231243e-15,87217.33029779911,26853.76298595038,60577.91368175509,-214.34636990634914,86525.43452308867,23001.32973314486,63303.636130783554,220.46865916025854
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.1082416470827977,0.9774374087336946,-0.011410015389945497,0.0,0.0,1.286405566988752e-15,90117.66783892804,25965.03368180227,64640.42850332712,-487.7943462013401,92197.89117308159,23954.420502643832,67784.95817205521,458.51249838255507
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,-6.0420300659872555e-18,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.030413556047206188,1.014485602003246,0.007190720047262264,0.0,0.0,1.8218706051419516e-15,85284.09583876193,26975.925379071265,58513.87121458774,-205.70075489706824,84066.34423431577,22902.570567385803,60938.57463877794,225.19902815201664
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,0.0,0.10824164708279772,1.0049628685751686,0.0024752920131111407,0.0,0.0,1.598285111153655e-15,85425.88031165842,26963.435267195706,58902.10065637522,-439.655611912503,85004.01654916347,23414.219732369467,61091.789636162044,498.00718063196376
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,2.0,-6.0420300659872555e-18,1.0098998639628693,0.004925550839806493,0.0,0.0,1.2507769109230617e-15,86374.78286716249,22669.884391229152,63704.898475933325,1.4106448435661744e-12,85528.06664239556,24167.981928700872,61360.084713694676,3.4894898761900102e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,2.0,0.030413556047206164,0.9941743009349484,-0.002921359011757511,0.0,0.0,1.4320201009387545e-15,88518.15659263279,22173.87925563412,66306.7760154932,37.50132150547321,89036.85853616204,25170.198379967987,63850.13626354853,16.523892645512746
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,2.0,0.1082416470827977,0.9742017413403786,-0.013067691168231716,0.0,0.0,1.3434596148852845e-15,92875.61238358388,21436.256441560774,71416.73354011854,22.62240190456763,95335.09173962136,26809.664886654646,68430.16736665228,95.2594863144371
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,2.0,-6.0420300659872555e-18,1.0098998639628693,0.004925550839806493,0.0,0.0,1.2507769109230617e-15,86374.78286716249,22669.884391229152,63704.898475933325,1.4106448435661744e-12,85528.06664239556,24167.981928700872,61360.084713694676,3.4894898761900102e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,2.0,0.030413556047206188,0.9969240779346176,-0.0015403300002090079,0.0,0.0,1.554865940209285e-15,86169.79321298492,22452.253878776384,63660.337415950315,57.2019182582303,86435.6625747345,24865.29935695931,61563.00209579322,7.361121981977666
