eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw,matrix_hermitian,matrix_symmetric,matrix_real,matrix_trace_real,matrix_frobenius_norm
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,-6.0420300659872555e-18,84272.932417637,0.70812973521174,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,0.04881135363161157,90268.55470484695,0.730525764276459,1.00641698740705,0.0031982321956628593,0.0,0.0,1.5869699052214428e-15,90557.25450275994,26434.640011924446,64116.69181589738,5.922674938128174,89979.85490693395,22265.407085060564,67770.31801588195,-55.870194008562606,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,-6.0420300659872555e-18,84272.932417637,0.70812973521174,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,0.04881135363161161,84460.8977824589,0.7069936130257667,1.0259583034719582,0.012812851788446197,0.0,0.0,1.4185199084184061e-15,85543.08274766464,27097.531257539522,58395.32210260159,50.22938752351655,83378.71281725314,22408.698222994277,61031.30846263958,-61.29386838070653,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,-6.0420300659872555e-18,85951.42475477903,0.7275329265712619,1.0098998639628693,0.004925550839806493,0.0,0.0,1.2507769109230617e-15,86374.78286716249,22669.884391229152,63704.898475933325,1.4106448435661744e-12,85528.06664239556,24167.981928700872,61360.084713694676,3.4894898761900102e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,0.04881135363161157,91587.01579207365,0.7575384749155487,0.9982701076108766,-0.0008656949741352323,0.0,0.0,1.5482605304533654e-15,91507.72937280641,20550.227450754803,71054.67245575669,-97.17053370507978,91666.3022113409,24027.47732736385,67706.7040746308,-67.87919065374311,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,-6.0420300659872555e-18,85951.42475477903,0.7275329265712619,1.0098998639628693,0.004925550839806493,0.0,0.0,1.2507769109230617e-15,86374.78286716249,22669.884391229152,63704.898475933325,1.4106448435661744e-12,85528.06664239556,24167.981928700872,61360.084713694676,3.4894898761900102e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,0.04881135363161161,84695.25225235069,0.7350694450964799,1.0053488321184967,0.0026672826357327624,0.0,0.0,1.349431728376919e-15,84921.1584280124,21586.99571341262,63409.61710755377,-75.45439295399663,84469.34607668899,23401.979285844103,61104.16704332984,-36.800252484952395,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,-6.0420300659872555e-18,82302.91941969184,0.6651859562238807,1.1046472390728075,0.04972198529522188,0.0,0.0,9.443866504468254e-16,86395.18396883158,31989.38193550322,54405.802033328364,-5.568334908813846e-12,78210.65487055208,23122.964595471014,55087.69027508106,4.380423461600226e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,0.04881135363161157,89315.78412441163,0.6781551104233814,1.140206441364998,0.06551070899290255,0.0,0.0,1.4165652729629686e-15,95166.92446665886,35021.9493795722,60059.36381149583,85.6112755908074,83464.64378216439,22400.495925390584,61080.54707938669,-16.39922261288139,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,-6.0420300659872555e-18,82302.91941969184,0.6651859562238807,1.1046472390728075,0.04972198529522188,0.0,0.0,9.443866504468254e-16,86395.18396883158,31989.38193550322,54405.802033328364,-5.568334908813846e-12,78210.65487055208,23122.964595471014,55087.69027508106,4.380423461600226e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,taux_sigma0,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,0.04881135363161161,82756.95541610703,0.6577943089676745,1.104774059327622,0.049779242984918065,0.0,0.0,1.3642653001788636e-15,86876.53400845746,33234.271880895314,53556.51815361231,85.74397394982024,78637.37682375661,23344.62815877396,55317.59044680123,-24.84178181858212,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,-6.0420300659872555e-18,61077.49272846766,0.582254035574249,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.042196097855445536,65536.95337678686,0.6101394808895428,1.250618766185547,0.11135549474258907,0.0,0.0,1.3109357428465544e-15,72834.85324398095,32053.1909832531,40890.91017856484,-109.24791783699717,58239.05350959276,19181.948679671754,39082.45524622498,-25.350416303964767,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,-6.0420300659872555e-18,61077.49272846766,0.582254035574249,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.042196097855445536,61051.059140755075,0.5829625145579764,1.2370444557730056,0.10596322981480284,0.0,0.0,1.6569410966744049e-15,67520.22655092402,31335.23328250373,36296.256630829215,-111.2633624089212,54581.891730586125,19742.202484626978,34884.701275415406,-45.012029456253,True,True,True,0.0,2.0
