candidate,theta_deg,n_shell,nk,mesh_variant,band_selector,bandwidth_meV,D_total_eV_A2,D_conv_eV_A2,D_geom_eV_A2,geom_fraction,target_D_total_eV_A2,target_D_conv_eV_A2,target_D_geom_eV_A2,target_geom_fraction,D_total_relative_delta,D_conv_relative_delta,D_geom_relative_delta,geom_fraction_delta
double_conv_all_tauz,1.05,3,14,gamma_centered,valence_conduction,11.122795363040794,58.290708705145434,40.466462579102505,17.824246126042933,0.3057819423024025,67.5,53.0,14.5,0.215,-0.13643394510895657,-0.23648183813014145,0.22925835352020218,0.09078194230240252
double_conv_all_tauz,1.05,3,14,positive_half_shift,closest_abs,6.899558464969393,51.74910023526084,38.90465708310707,12.84444315215377,0.2482061155413445,67.5,53.0,14.5,0.215,-0.2333466631813209,-0.26594986635647044,-0.1141763343342227,0.033206115541344505
double_conv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,51.32989867009394,38.974518752396165,12.355379917697777,0.24070532453430157,67.5,53.0,14.5,0.215,-0.23955705673934902,-0.2646317216529026,-0.14790483326222226,0.025705324534301577
double_conv_all_tauz,1.05,3,14,positive_half_shift,valence_conduction,11.234118020592025,53.952648130508166,36.4428222003172,17.509825930190967,0.32454062102449105,67.5,53.0,14.5,0.215,-0.20070150917765683,-0.31239958112609056,0.20757420208213562,0.10954062102449105
double_conv_all_tauz,1.05,3,14,positive_half_shift,central_pair,6.187695623887809,46.487150419462935,34.81735914259494,11.669791276868,0.2510326223820802,67.5,53.0,14.5,0.215,-0.31130147526721574,-0.343068695422737,-0.19518680849186199,0.03603262238208019
current_tauz_tau0,1.05,3,14,half_shift_centered,valence_conduction,11.439295792985588,35.659742094077174,22.727625344789544,12.932116749287628,0.3626531205741827,67.5,53.0,14.5,0.215,-0.47170752453219,-0.5711768802869897,-0.10812987935947393,0.1476531205741827
all_tauz,1.05,3,14,half_shift_centered,closest_abs,6.981732757973662,35.91479685075312,23.429204657568583,12.485592193184534,0.3476447951263496,67.5,53.0,14.5,0.215,-0.4679289355443982,-0.5579395347628568,-0.13892467633210115,0.1326447951263496
all_tauz,1.05,3,14,gamma_centered,closest_abs,7.294602387142854,34.1411293238379,21.448563637829828,12.692565686008074,0.37176759929689596,67.5,53.0,14.5,0.215,-0.49420549149869775,-0.5953101200409466,-0.12465064234427081,0.15676759929689596
all_tauz,1.05,3,14,half_shift_centered,valence_conduction,11.439295792985588,40.8317136618801,22.727625344789544,18.10408831709056,0.443383015148646,67.5,53.0,14.5,0.215,-0.3950857235277022,-0.5711768802869897,0.24855781497176288,0.22838301514864598
all_tauz,1.05,3,14,half_shift_centered,central_pair,5.992364739916093,33.450202319427575,20.945303834998196,12.504898484429377,0.3738362585976541,67.5,53.0,14.5,0.215,-0.5044414471195915,-0.6048055880189019,-0.13759320797038777,0.15883625859765413
