m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
taux_sigmax,fixed_delta0,0.0,0.0,1.0,84272.932417637,85214.94843041094,0.011178156327888544,1.1178156327888544,-6.0420300659872555e-18,0.10824164708279772,0.70812973521174,0.7040659679007366,0.009135594829326509,0.0024752920131111407,0.0,0.0,1.598285111153655e-15
taux_sigmax,fixed_delta0,2.0,0.0,1.0,85951.42475477903,86973.60148219741,0.011892493118463854,1.1892493118463854,-6.0420300659872555e-18,0.10824164708279772,0.7275329265712619,0.7248753134126344,0.004925550839806493,-0.006730838676336964,0.0,0.0,1.8248210267585983e-15
taux_sigmax,fixed_delta0,4.0,0.0,1.0,82302.91941969184,82258.9627148014,-0.0005340843945801366,-0.05340843945801366,-6.0420300659872555e-18,0.10824164708279772,0.6651859562238807,0.6785743747600917,0.04972198529522188,0.04579666244349763,0.0,0.0,1.0752023271591564e-15
taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,66520.79882026077,0.08912130882635316,8.912130882635317,-6.0420300659872555e-18,0.1082416470827977,0.582254035574249,0.608271495427035,0.10600650102664622,0.11895254875912005,0.0,0.0,1.5747256221266344e-15
taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,91157.77950600482,0.08169701576596533,8.169701576596534,-6.0420300659872555e-18,0.1082416470827977,0.70812973521174,0.7263526349205286,0.009135594829326509,-0.011410015389945497,0.0,0.0,1.286405566988752e-15
taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,94105.35206160262,0.09486669162363381,9.48666916236338,-6.0420300659872555e-18,0.1082416470827977,0.7275329265712619,0.7430337267917833,0.004925550839806493,-0.013067691168231716,0.0,0.0,1.3434596148852845e-15
taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,87753.93843800802,0.06623117450450922,6.623117450450922,-6.0420300659872555e-18,0.1082416470827977,0.6651859562238807,0.7028674521503387,0.04972198529522188,0.061746067313143,0.0,0.0,1.4193124883791765e-15
taux_sigmaz,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,61176.37405142216,0.001618948626363803,0.1618948626363803,-6.0420300659872555e-18,0.03738285821352422,0.582254035574249,0.5822533620085413,0.10600650102664622,0.10632388153848064,0.0,0.0,1.3270864623711207e-15
taux_sigmaz,fixed_delta0,0.0,0.0,1.0,84272.932417637,84441.29824081503,0.001997863588555804,0.19978635885558038,-6.0420300659872555e-18,0.03738285821352422,0.70812973521174,0.709284849289286,0.009135594829326509,0.008949091836588086,0.0,0.0,1.4416411217453757e-15
taux_sigmaz,fixed_delta0,2.0,0.0,1.0,85951.42475477903,86092.49435710814,0.0016412712497970716,0.16412712497970716,-6.0420300659872555e-18,0.03738285821352422,0.7275329265712619,0.7282045552793361,0.004925550839806493,0.004634073562648752,0.0,0.0,1.5482891745774767e-15
