eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,0.030175648364878006,84577.7525750034,0.7788788799981985,1.0574967911717883,0.027945021065642936,0.0,0.0,1.6016421184410473e-15,86941.2796523966,22299.81187531949,64724.58885052353,-83.12107344640606,82214.22549761018,15348.251115327146,67027.06154624326,-161.0871639602184
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,0.10729542571944178,87963.14486829145,0.8019789089903562,1.062199963800866,0.030161945927990586,0.0,0.0,1.6808948711167368e-15,90616.28448746486,21051.179933292737,69721.73611876549,-156.63156459337088,85310.00524911804,14307.256848264762,71367.43778690054,-364.6893860472492
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,1.8275276125516916e-18,82650.97528292186,0.7683654334590646,1.0552483697916344,0.026881602537038207,0.0,0.0,1.2752540150653228e-15,84872.76594977595,22543.696743564815,62329.06920621114,1.796532744242821e-13,80429.1846160678,15745.948924125578,64683.23569194223,-9.43179690727481e-13
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,0.030175648364878,82507.28196402421,0.7681624346165032,1.054722033738651,0.026632329259195238,0.0,0.0,1.4660630916850836e-15,84704.64306357136,22738.103540695538,62049.21277059502,-82.67324771919645,80309.92086447706,15751.236942761603,64708.77640355527,-150.0924818398171
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,2.0,0.10699588477366273,0.10729542571944178,82412.24884106594,0.7712435397504774,1.0523168697671035,0.025491614154611732,0.0,0.0,1.5667408592394475e-15,84513.07009013624,22546.616981151743,62118.13076322795,-151.67765424345038,80311.42759199564,15647.953337289353,65001.69826673381,-338.2240120275322
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,1.8275276125516916e-18,80278.78405570664,0.6890269533742,1.0788672669796575,0.037937615466061975,0.0,0.0,1.241922306496039e-15,83324.36969529506,28570.53640024458,54753.83329505048,3.862545400122066e-12,77233.1984161182,21358.539714191007,55874.6587019272,-2.627429138455126e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,0.030175648364878006,82126.19272483012,0.7011293694831526,1.0759653910229006,0.036592802245835956,0.0,0.0,1.5394894250368508e-15,85131.42025441324,28305.771649571772,56829.903670332955,-4.255065491505292,79120.965195247,20732.733510441667,58332.267776091074,55.96390871427156
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,0.10729542571944178,85139.05359014694,0.7249443318796756,1.0825538621687314,0.03964068525111823,0.0,0.0,1.6268754915322246e-15,88514.02401609205,27507.679732437533,60981.05600124079,25.288282413735132,81764.08316420185,19218.378709290377,62461.092642313146,84.61181259830718
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,1.8275276125516916e-18,80278.78405570664,0.6890269533742,1.0788672669796575,0.037937615466061975,0.0,0.0,1.241922306496039e-15,83324.36969529506,28570.53640024458,54753.83329505048,3.862545400122066e-12,77233.1984161182,21358.539714191007,55874.6587019272,-2.627429138455126e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,0.030175648364878,80240.1590962552,0.6920965567496118,1.0736986580915813,0.03553971441511467,0.0,0.0,1.2778275458096314e-15,83091.87143515947,28346.112600646346,54753.46969691059,-7.710862397477409,77388.44675735092,21013.270767806367,56314.40595020794,60.77003933661902
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,9,3,6,196,1.0,4.0,0.6995884773662553,0.10729542571944178,80139.46973860246,0.6978602336028743,1.0691487229600714,0.03341892353738063,0.0,0.0,1.6389128249212105e-15,82817.64455012305,27861.58426702152,54945.059637108425,11.000645993083472,77461.29492708188,20434.067037410416,56907.23850807476,119.98938159668785
