nk,n_keep,n_shell,m0,m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,6,4,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,62258.04895533337,62688.24704036858,0.006909919155093647,0.6909919155093647,3.1067969413378836e-17,0.12482412463491739,0.6959315669371811,0.7032375775593775,-0.006157584303487893,0.007025192929630162,0.0,0.0,1.3387743325531866e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,36645.18688801494,38248.0567012082,0.043740254841420745,4.3740254841420745,3.1067969413378836e-17,0.12482412463491742,0.5595305145092733,0.5856785072060938,0.004141804192904275,0.0060894402123227555,0.0,0.0,1.6661417007798955e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,54816.47679041949,58608.53659262179,0.06917737191867568,6.917737191867568,3.1067969413378836e-17,0.12482412463491742,0.6760698561818953,0.7011770944307443,0.004545780282140835,-0.007610539002505285,0.0,0.0,1.541470185251232e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,64352.19100410356,73105.77797597233,0.136026246119741,13.6026246119741,3.1067969413378836e-17,0.12482412463491742,0.7459290072434487,0.7885919720847385,0.003953392798591382,0.01256671251167365,0.0,0.0,1.4712495541231352e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,65235.7965572674,71734.07171760628,0.0996121072061158,9.961210720611579,3.1067969413378836e-17,0.12482412463491742,0.6535937078973549,0.6892473819946665,-0.007181486520136529,-0.00957693691491424,0.0,0.0,2.1591441122104153e-15
9,6,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,62258.04895533337,69502.14179323477,0.11635592440583276,11.635592440583276,3.1067969413378836e-17,0.12482412463491742,0.6959315669371811,0.729591209417877,-0.006157584303487893,0.006610168037593063,0.0,0.0,1.6016412508472677e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,120905.0514026616,120309.1156158818,-0.0049289568952342044,-0.49289568952342044,0.0,0.11345169359002251,0.9187634852335707,0.9166634866263634,-0.002940514627608393,-0.005400296642939756,0.0,0.0,1.888591953678591e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,122747.54481178291,122704.04285979719,-0.00035440180944079636,-0.035440180944079636,0.0,0.11345169359002251,0.905066429531903,0.9030511635198198,0.025828547078731594,0.0259512450730529,0.0,0.0,1.327862618762806e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,127499.40204573225,127476.86398682068,-0.00017676991852466628,-0.017676991852466628,0.0,0.11345169359002251,0.8924313213661536,0.8924104056772252,0.056094589846708336,0.058278360326744015,0.0,0.0,1.4770451852787538e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,128073.32505742539,128121.98831767305,0.00037996405751039575,0.037996405751039575,0.0,0.11345169359002251,0.888018551440063,0.8869807355921382,0.06047852392716848,0.05931433031442021,0.0,0.0,1.8026534482594395e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,124153.12794590139,123942.4587881845,-0.0016968493762693493,-0.16968493762693493,0.0,0.11345169359002251,0.8981719906748313,0.9005334308967338,0.02795921206153352,0.026337779399318636,0.0,0.0,1.5725567495959368e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,120905.0514026616,122460.88228240456,0.012868204113006154,1.2868204113006154,0.0,0.11345169359002254,0.9187634852335707,0.9226345326350741,-0.002940514627608393,-0.0012369977718437286,0.0,0.0,1.888591953678591e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,122747.54481178291,124062.76954703865,0.010714876108295801,1.07148761082958,0.0,0.11345169359002254,0.905066429531903,0.9120635046598718,0.025828547078731594,0.021862464487480558,0.0,0.0,1.6583327299902556e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,127499.40204573225,131109.04907989962,0.028311089905132647,2.8311089905132647,0.0,0.11345169359002254,0.8924313213661536,0.89216150512033,0.056094589846708336,0.06206311083367359,0.0,0.0,2.3127528050262192e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,128073.32505742539,131416.67865802356,0.026104995705382716,2.6104995705382716,0.0,0.11345169359002254,0.888018551440063,0.8880136073217718,0.06047852392716848,0.06326179163877779,0.0,0.0,1.8026534482594395e-15
9,8,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,124153.12794590139,126318.4529961994,0.017440761148132644,1.7440761148132644,0.0,0.11345169359002254,0.8981719906748313,0.900138075021177,0.02795921206153352,0.028161962577717633,0.0,0.0,1.7414275028602399e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,85963.83749397096,85598.22970462317,-0.0042530417441337676,-0.42530417441337676,0.0,0.14251514480983055,0.7170483828836557,0.7187518531456273,0.029213540173567285,0.03231045156420748,0.0,0.0,1.7117654079815071e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,99327.00107047943,98811.23135355292,-0.005192643605141378,-0.5192643605141378,0.0,0.14251514480983055,0.7383185686895927,0.7521709411159178,0.058580946657099606,0.0600786210341867,0.0,0.0,1.4437131315607603e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,100352.61948636375,101048.65904710657,0.0069359381379914264,0.6935938137991426,0.0,0.14251514480983055,0.7664368120942708,0.760449427035789,0.02412473175027373,0.034333927222459384,0.0,0.0,1.5645413716060107e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,98863.66680249343,98736.62168749137,-0.001285053641150835,-0.1285053641150835,0.0,0.14251514480983055,0.8060371457626202,0.8086224243309058,0.012092000762495279,0.01227382992581582,0.0,0.0,1.4433282667037225e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,99730.4980820905,99647.80583015527,-0.0008291571136762599,-0.08291571136762599,0.0,0.14251514480983055,0.7492548851390428,0.7565800644029195,0.022615338264238758,0.020308564758245738,0.0,0.0,1.5319105393379037e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,85963.83749397096,90717.5352417831,0.05529880803827014,5.529880803827014,0.0,0.14251514480983052,0.7170483828836557,0.7396331956380747,0.029213540173567285,0.022040615678426557,0.0,0.0,1.7117654079815071e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,99327.00107047943,105638.1414654085,0.06353902087963847,6.3539020879638475,0.0,0.14251514480983052,0.7383185686895927,0.7629120901726802,0.058580946657099606,0.06120911343003665,0.0,0.0,1.5526826834338978e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,100352.61948636375,107634.24814120121,0.0725604243527187,7.25604243527187,0.0,0.14251514480983052,0.7664368120942708,0.7735152736203854,0.02412473175027373,0.028640537714674365,0.0,0.0,1.6526315876432904e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,98863.66680249343,104406.13616871144,0.05606174184587509,5.606174184587509,0.0,0.14251514480983052,0.8060371457626202,0.8329997563013908,0.012092000762495279,0.016561898121717072,0.0,0.0,2.1489109645617663e-15
9,8,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,99730.4980820905,105149.83160528308,0.054339781986567415,5.4339781986567415,0.0,0.14251514480983052,0.7492548851390428,0.7771368104105041,0.022615338264238758,0.02557618185236116,0.0,0.0,1.4912536964506123e-15
9,8,4,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,71759.60089583842,71886.53976645175,0.001768946162306495,0.1768946162306495,0.0,0.1605547472006292,0.7726935050007749,0.7714066615988462,0.004413125536094468,0.004188841253642041,0.0,0.0,1.5634965403263256e-15
9,8,4,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,85608.21425741159,85763.84425132308,0.0018179329549328216,0.18179329549328216,0.0,0.1605547472006292,0.7920019962899799,0.7913881849553464,0.0037482719982801778,-0.00119087841885374,0.0,0.0,1.7050583304990488e-15
9,8,4,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,85483.45612147567,86716.98277110382,0.014430004419513143,1.4430004419513143,0.0,0.1605547472006292,0.8084267945134429,0.8116534174108707,0.00108270962914824,0.006668310683671863,0.0,0.0,1.7730925604350764e-15
9,8,4,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,82830.54814376996,83158.82323556102,0.003963212838109742,0.3963212838109742,0.0,0.1605547472006292,0.7268793762499831,0.7355111006002707,-0.006783423957675221,-0.007187504332825889,0.0,0.0,1.945481241630656e-15
